class,property,object property,property group,preview property,preview object property
shacl:NodeShape,rdfs:label,,labels,rdfs:label,
shacl:NodeShape,rdfs:comment,,notes,rdfs:label,
shacl:NodeShape,shacl:targetClass,,node constraints,rdfs:label,
shacl:NodeShape,shacl:property,,node constraints,rdfs:label,
shacl:NodeShape,rdfs:isDefinedBy,,semantic properties,rdfs:label,
shacl:PropertyShape,shacl:name,,labels,shacl:name,
shacl:PropertyShape,shacl:description,,notes,shacl:name,
shacl:PropertyShape,shacl:path,,property constraints,shacl:name,
shacl:PropertyShape,shacl:class,,property constraints,shacl:name,
shacl:PropertyShape,shacl:datatype,,property constraints,shacl:name,
shacl:PropertyShape,shacl:minCount,,cardinality constraints,shacl:name,
shacl:PropertyShape,shacl:maxCount,,cardinality constraints,shacl:name,
shacl:PropertyShape,shacl:minInclusive,,range constraints,shacl:name,
shacl:PropertyShape,shacl:maxInclusive,,range constraints,shacl:name,
shacl:PropertyShape,shacl:minExclusive,,range constraints,shacl:name,
shacl:PropertyShape,shacl:maxExclusive,,range constraints,shacl:name,
shacl:PropertyShape,shacl:minLength,,string constraints,shacl:name,
shacl:PropertyShape,shacl:maxLength,,string constraints,shacl:name,
shacl:PropertyShape,shacl:pattern,,string constraints,shacl:name,
shacl:PropertyShape,shacl:languageIn,,string constraints,shacl:name,
shacl:PropertyShape,shacl:uniqueLang,,string constraints,shacl:name,
shacl:PropertyShape,shacl:sparql,shacl:select,query constraints,shacl:name,
shacl:PropertyShape,rdfs:isDefinedBy,,semantic properties,shacl:name,
owl:Ontology,rdfs:label,,labels,rdfs:label,
owl:Ontology,dct:title,,labels,rdfs:label,
owl:Ontology,rdfs:comment,,notes,rdfs:label,
owl:Ontology,dct:description,,notes,rdfs:label,
owl:Ontology,owl:versionInfo,,evolution properties,rdfs:label,
owl:Ontology,owl:versionIRI,,evolution properties,rdfs:label,
owl:Ontology,owl:priorVersion,,evolution properties,rdfs:label,
owl:Ontology,owl:incompatibleWith,,evolution properties,rdfs:label,
owl:Ontology,dct:created,,evolution properties,rdfs:label,
owl:Ontology,dct:issued,,evolution properties,rdfs:label,
owl:Ontology,owl:imports,,miscellaneous,rdfs:label,
owl:Ontology,rdfs:seeAlso,,miscellaneous,rdfs:label,
owl:Ontology,dct:license,,miscellaneous,rdfs:label,
owl:Ontology,dct:publisher,,miscellaneous,rdfs:label,
owl:Ontology,vann:preferredNamespacePrefix,,miscellaneous,rdfs:label,
owl:Ontology,vann:preferredNamespaceUri,,miscellaneous,rdfs:label,